# This is for paper [ICME 2025] Variance-Reduction Guidance: Sampling Trajectory Optimization for Diffusion Models
# dataset: LSUN Bedroom
# pre-trained model: https://github.com/pesser/pytorch_diffusion?tab=readme-ov-file
# pre-trained model: https://heibox.uni-heidelberg.de/d/01207c3f6b8441779abf/?p=%2Fdiffusion_models_converted%2Fema_diffusion_lsun_bedroom_model&mode=list
# pre-trained model: ema-lsun-bedroom-model-2388000.ckpt
#
# ts : timestep
# MSE: mean squared error between predicted noise and ground-truth noise
#      The MSE value below is the average of all dimensions.
#
# ts  	alpha_bar	MSE
   0	0.999900	0.82293654
   1	0.999880	0.66074336
   2	0.999860	0.55622413
   3	0.999840	0.48086215
   4	0.999820	0.42273765
   5	0.999800	0.37620962
   6	0.999780	0.33851236
   7	0.999761	0.30719266
   8	0.999741	0.28093923
   9	0.999721	0.25865075
  10	0.999701	0.23947237
  11	0.999681	0.22278156
  12	0.999661	0.20794181
  13	0.999641	0.19509296
  14	0.999621	0.18347758
  15	0.999601	0.17316879
  16	0.999581	0.16383160
  17	0.999561	0.15550799
  18	0.999541	0.14788578
  19	0.999521	0.14092099
  20	0.999502	0.13451508
  21	0.999482	0.12870135
  22	0.999462	0.12317057
  23	0.999442	0.11815495
  24	0.999422	0.11348807
  25	0.999402	0.10928956
  26	0.999382	0.10524033
  27	0.999362	0.10150495
  28	0.999342	0.09802825
  29	0.999322	0.09469646
  30	0.999302	0.09161727
  31	0.999282	0.08878431
  32	0.999263	0.08608950
  33	0.999243	0.08350093
  34	0.999223	0.08107492
  35	0.999203	0.07878990
  36	0.999183	0.07662996
  37	0.999163	0.07457833
  38	0.999143	0.07262428
  39	0.999123	0.07079267
  40	0.999103	0.06900157
  41	0.999083	0.06738053
  42	0.999063	0.06578091
  43	0.999043	0.06425067
  44	0.999023	0.06278731
  45	0.999004	0.06141094
  46	0.998984	0.06009808
  47	0.998964	0.05880906
  48	0.998944	0.05762460
  49	0.998924	0.05645285
  50	0.998904	0.05533846
  60	0.998705	0.04615274
  70	0.998506	0.03960413
  80	0.998306	0.03463366
  90	0.998107	0.03075983
 100	0.997908	0.02763269
 110	0.997709	0.02504107
 120	0.997510	0.02285584
 130	0.997310	0.02098552
 140	0.997111	0.01936067
 150	0.996912	0.01793625
 160	0.996713	0.01667580
 170	0.996514	0.01555578
 180	0.996314	0.01454714
 190	0.996115	0.01363185
 200	0.995916	0.01280113
 210	0.995717	0.01203622
 220	0.995518	0.01134307
 230	0.995318	0.01069618
 240	0.995119	0.01009988
 250	0.994920	0.00954580
 260	0.994721	0.00902723
 270	0.994522	0.00854466
 280	0.994322	0.00809497
 290	0.994123	0.00766908
 300	0.993924	0.00726711
 310	0.993725	0.00689246
 320	0.993526	0.00653551
 330	0.993326	0.00619838
 340	0.993127	0.00588093
 350	0.992928	0.00557323
 360	0.992729	0.00528848
 370	0.992530	0.00501632
 380	0.992330	0.00475149
 390	0.992131	0.00450536
 400	0.991932	0.00426799
 410	0.991733	0.00404282
 420	0.991534	0.00382582
 430	0.991334	0.00361853
 440	0.991135	0.00342151
 450	0.990936	0.00323350
 460	0.990737	0.00305231
 470	0.990538	0.00288142
 480	0.990338	0.00271743
 490	0.990139	0.00256093
 500	0.989940	0.00241019
 510	0.989741	0.00226777
 520	0.989542	0.00213155
 530	0.989342	0.00199853
 540	0.989143	0.00187336
 550	0.988944	0.00175703
 560	0.988745	0.00164221
 570	0.988546	0.00153142
 580	0.988346	0.00143206
 590	0.988147	0.00133502
 600	0.987948	0.00124093
 610	0.987749	0.00115225
 620	0.987550	0.00107016
 630	0.987350	0.00099072
 640	0.987151	0.00091582
 650	0.986952	0.00084430
 660	0.986753	0.00077773
 670	0.986554	0.00071512
 680	0.986354	0.00065696
 690	0.986155	0.00060137
 700	0.985956	0.00054884
 710	0.985757	0.00050042
 720	0.985558	0.00045495
 730	0.985358	0.00041344
 740	0.985159	0.00037395
 750	0.984960	0.00033801
 760	0.984761	0.00030383
 770	0.984562	0.00027321
 780	0.984362	0.00024445
 790	0.984163	0.00021905
 800	0.983964	0.00019502
 810	0.983765	0.00017324
 820	0.983566	0.00015317
 830	0.983366	0.00013585
 840	0.983167	0.00012001
 850	0.982968	0.00010571
 860	0.982769	0.00009262
 870	0.982570	0.00008104
 880	0.982370	0.00007074
 890	0.982171	0.00006152
 900	0.981972	0.00005346
 910	0.981773	0.00004660
 920	0.981574	0.00004030
 930	0.981375	0.00003470
 940	0.981175	0.00003020
 950	0.980976	0.00002613
 960	0.980777	0.00002261
 970	0.980578	0.00001956
 980	0.980379	0.00001703
 990	0.980179	0.00001483
1001	0.000000	0.00000000
# the last row (ts 1001) is a safeguard.
