# This is for paper [ICME 2025] Variance-Reduction Guidance: Sampling Trajectory Optimization for Diffusion Models
# dataset: LSUN Bedroom
# pre-trained model: https://github.com/pesser/pytorch_diffusion?tab=readme-ov-file
# pre-trained model: https://heibox.uni-heidelberg.de/d/01207c3f6b8441779abf/?p=%2Fdiffusion_models_converted%2Fema_diffusion_cifar10_model&mode=list
# pre-trained model: ema-cifar10-model-790000.ckpt
#
# ts : timestep
# MSE: mean squared error between predicted noise and ground-truth noise
#      The MSE value below is the average of all dimensions.
#
# ts  	alpha_bar	MSE
   1	0.999900	0.55511239
   2	0.999780	0.48527061
   3	0.999640	0.44198234
   4	0.999481	0.40989899
   5	0.999301	0.38416247
   6	0.999102	0.36232189
   7	0.998882	0.34368975
   8	0.998643	0.32732044
   9	0.998384	0.31305276
  10	0.998105	0.30020758
  11	0.997807	0.28852950
  12	0.997488	0.27770914
  13	0.997150	0.26811190
  14	0.996792	0.25916386
  15	0.996414	0.25114734
  16	0.996017	0.24349654
  17	0.995600	0.23624247
  18	0.995163	0.22970486
  19	0.994707	0.22371856
  20	0.994231	0.21772712
  21	0.993735	0.21235960
  22	0.993220	0.20719498
  23	0.992686	0.20238009
  24	0.992131	0.19782925
  25	0.991558	0.19348358
  26	0.990965	0.18918180
  27	0.990353	0.18526047
  28	0.989721	0.18155330
  29	0.989070	0.17783895
  30	0.988400	0.17441368
  31	0.987710	0.17135205
  32	0.987002	0.16798030
  33	0.986274	0.16479518
  34	0.985527	0.16182889
  35	0.984761	0.15915652
  36	0.983976	0.15639437
  37	0.983172	0.15383315
  38	0.982349	0.15131553
  39	0.981507	0.14895911
  40	0.980646	0.14661771
  41	0.979767	0.14437894
  42	0.978869	0.14220128
  43	0.977952	0.14014886
  44	0.977016	0.13810870
  45	0.976062	0.13608366
  46	0.975090	0.13413405
  47	0.974099	0.13236196
  48	0.973089	0.13046332
  49	0.972062	0.12863466
  50	0.971016	0.12701731
  51	0.969951	0.12533521
  52	0.968869	0.12358473
  53	0.967768	0.12209223
  54	0.966650	0.12046118
  55	0.965514	0.11906798
  56	0.964359	0.11763293
  57	0.963187	0.11639179
  58	0.961997	0.11486180
  59	0.960789	0.11347573
  60	0.959564	0.11212396
  61	0.958321	0.11076733
  62	0.957061	0.10960907
  63	0.955783	0.10831936
  64	0.954488	0.10705009
  65	0.953176	0.10597533
  66	0.951846	0.10484319
  67	0.950500	0.10364948
  68	0.949136	0.10269083
  69	0.947756	0.10165959
  70	0.946358	0.10043281
  71	0.944944	0.09947351
  72	0.943513	0.09847196
  73	0.942065	0.09740782
  74	0.940601	0.09660310
  75	0.939121	0.09556659
  76	0.937624	0.09458994
  77	0.936110	0.09369422
  78	0.934581	0.09276691
  79	0.933035	0.09196467
  80	0.931474	0.09100963
  81	0.929896	0.09023187
  82	0.928303	0.08938984
  83	0.926694	0.08848070
  84	0.925069	0.08764443
  85	0.923428	0.08687193
  86	0.921773	0.08625619
  87	0.920101	0.08549111
  88	0.918415	0.08448361
  89	0.916713	0.08386866
  90	0.914996	0.08324633
  91	0.913264	0.08243109
  92	0.911517	0.08175799
  93	0.909756	0.08100278
  94	0.907979	0.08046255
  95	0.906188	0.07979244
  96	0.904383	0.07907134
  97	0.902563	0.07841864
  98	0.900729	0.07769002
  99	0.898880	0.07714006
 100	0.897018	0.07654828
 101	0.895141	0.07588044
 102	0.893251	0.07526505
 103	0.891347	0.07472558
 104	0.889429	0.07410845
 105	0.887497	0.07354260
 106	0.885552	0.07299507
 107	0.883594	0.07228674
 108	0.881622	0.07189124
 109	0.879637	0.07128236
 110	0.877639	0.07080852
 111	0.875629	0.07019129
 112	0.873605	0.06981364
 113	0.871569	0.06909532
 114	0.869520	0.06876016
 115	0.867458	0.06822581
 116	0.865384	0.06769099
 117	0.863298	0.06723468
 118	0.861200	0.06669918
 119	0.859089	0.06626747
 120	0.856967	0.06574654
 121	0.854832	0.06530834
 122	0.852687	0.06478780
 123	0.850529	0.06441516
 124	0.848360	0.06393714
 125	0.846180	0.06348905
 126	0.843988	0.06305461
 127	0.841785	0.06261384
 128	0.839572	0.06229480
 129	0.837347	0.06173781
 130	0.835112	0.06139775
 131	0.832865	0.06095666
 132	0.830609	0.06048517
 133	0.828342	0.06009223
 134	0.826064	0.05970018
 135	0.823777	0.05932079
 136	0.821479	0.05890561
 137	0.819171	0.05857367
 138	0.816854	0.05821619
 139	0.814527	0.05789314
 140	0.812190	0.05742038
 141	0.809844	0.05695351
 142	0.807488	0.05669816
 143	0.805123	0.05636144
 144	0.802750	0.05591762
 145	0.800367	0.05562300
 146	0.797975	0.05520810
 147	0.795574	0.05493870
 148	0.793165	0.05453264
 149	0.790747	0.05419377
 150	0.788321	0.05389128
 151	0.785887	0.05350498
 152	0.783444	0.05316225
 153	0.780994	0.05296025
 154	0.778536	0.05247838
 155	0.776069	0.05226046
 156	0.773596	0.05188755
 157	0.771114	0.05159140
 158	0.768626	0.05127611
 159	0.766130	0.05089646
 160	0.763626	0.05052521
 161	0.761116	0.05036755
 162	0.758599	0.05003242
 163	0.756075	0.04977195
 164	0.753545	0.04955006
 165	0.751008	0.04909238
 166	0.748464	0.04890042
 167	0.745914	0.04858553
 168	0.743358	0.04826431
 169	0.740797	0.04794698
 170	0.738229	0.04781444
 171	0.735655	0.04750419
 172	0.733075	0.04725737
 173	0.730490	0.04683643
 174	0.727900	0.04657502
 175	0.725304	0.04636210
 176	0.722703	0.04612278
 177	0.720097	0.04593877
 178	0.717486	0.04558885
 179	0.714871	0.04536831
 180	0.712250	0.04499562
 181	0.709625	0.04481579
 182	0.706995	0.04459268
 183	0.704362	0.04429060
 184	0.701724	0.04405965
 185	0.699081	0.04373506
 186	0.696435	0.04351366
 187	0.693785	0.04328313
 188	0.691131	0.04305324
 189	0.688474	0.04290115
 190	0.685813	0.04253468
 191	0.683149	0.04236684
 192	0.680481	0.04212169
 193	0.677811	0.04189774
 194	0.675137	0.04158110
 195	0.672461	0.04146624
 196	0.669782	0.04115268
 197	0.667099	0.04096028
 198	0.664415	0.04073385
 199	0.661728	0.04054905
 200	0.659039	0.04027030
 201	0.656347	0.04010002
 202	0.653654	0.03997760
 203	0.650958	0.03964462
 204	0.648261	0.03950880
 205	0.645561	0.03919574
 206	0.642861	0.03908773
 207	0.640158	0.03877518
 208	0.637455	0.03863097
 209	0.634750	0.03836131
 210	0.632044	0.03813626
 211	0.629336	0.03800981
 212	0.626628	0.03781675
 213	0.623919	0.03757864
 214	0.621210	0.03737488
 215	0.618500	0.03722012
 216	0.615789	0.03699982
 217	0.613078	0.03671724
 218	0.610366	0.03658439
 219	0.607655	0.03637444
 220	0.604943	0.03630103
 221	0.602232	0.03599095
 222	0.599520	0.03578837
 223	0.596809	0.03561743
 224	0.594098	0.03542564
 225	0.591388	0.03524723
 226	0.588678	0.03515557
 227	0.585969	0.03491718
 228	0.583261	0.03469741
 229	0.580554	0.03454494
 230	0.577847	0.03433604
 231	0.575142	0.03415370
 232	0.572438	0.03397969
 233	0.569735	0.03378976
 234	0.567034	0.03367668
 235	0.564334	0.03346298
 236	0.561636	0.03330451
 237	0.558940	0.03315673
 238	0.556245	0.03294451
 239	0.553552	0.03274258
 240	0.550861	0.03263716
 241	0.548173	0.03248308
 242	0.545486	0.03226201
 243	0.542802	0.03207764
 244	0.540120	0.03196770
 245	0.537441	0.03179015
 246	0.534764	0.03164206
 247	0.532090	0.03150392
 248	0.529419	0.03130935
 249	0.526751	0.03111961
 250	0.524085	0.03094431
 251	0.521423	0.03084601
 252	0.518764	0.03068581
 253	0.516108	0.03057801
 254	0.513455	0.03040844
 255	0.510806	0.03018941
 256	0.508160	0.03001067
 257	0.505518	0.02988569
 258	0.502880	0.02966654
 259	0.500245	0.02954893
 260	0.497614	0.02944892
 261	0.494987	0.02923098
 262	0.492364	0.02904562
 263	0.489745	0.02901430
 264	0.487130	0.02884587
 265	0.484520	0.02871285
 266	0.481914	0.02854233
 267	0.479312	0.02839993
